step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
6000,50,1,277,17.4627,15.84,107.49,8.41,8,16.91,3.687,7.674,0.4556,102.144
6000,50,2,666,74.6140,46.61,1484.04,31.36,30,10.66,1.934,11.064,0.9353,122.967
6000,60,0,3822,53.6014,95.34,10.64,-9.87,2,2.12,0.210,15.169,0.0832,7.584
6000,60,1,29,7.7444,14.10,10.63,1.35,0,7.30,0.456,11.252,0.4262,34.545
6000,60,2,4,2.1719,3.09,7.10,-0.69,0,5.56,0.189,12.470,0.9111,51.079
6000,70,0,4651,9.9745,50.48,6.62,-14.83,0,-5.59,0.000,20.856,0.0539,3.787
6000,70,1,5,1.3731,6.26,0.99,4.91,0,-0.07,0.000,15.594,0.5778,15.219
6000,80,0,3564,0.0503,15.04,2.46,-23.14,0,-12.09,0.000,27.087,0.0400,4.138
7000,-60,0,2561,128.8252,80.73,51.08,34.34,47,17.37,3.978,7.667,0.3518,58.371
7000,-60,1,2597,315.8681,107.33,1015.38,15.59,195,14.74,3.090,8.892,0.6055,84.273
7000,-60,2,2576,230.4324,106.94,4540.68,18.04,114,9.74,1.712,11.589,0.9171,91.088
7000,-50,0,4603,298.3229,164.42,75.34,30.09,102,24.77,7.986,5.610,0.2687,102.980
7000,-50,1,2272,216.7985,59.84,979.52,15.15,123,21.61,6.656,6.853,0.5031,159.198
7000,-50,2,1823,273.9304,106.67,4144.49,43.34,175,15.81,4.533,9.696,0.8072,165.365
7000,-40,0,4888,339.6118,191.62,76.28,34.71,141,31.45,12.127,4.088,0.2563,207.418
7000,-40,1,1560,147.6531,64.01,576.41,34.04,75,29.10,11.009,4.920,0.4024,281.393
7000,-40,2,1633,226.4678,82.99,4193.25,50.19,160,20.86,7.500,8.448,0.7082,285.924
7000,-30,0,2446,279.9083,166.90,43.16,37.42,101,35.81,15.168,3.360,0.3236,409.488
7000,-30,1,2097,182.0218,104.01,827.46,30.35,93,33.13,13.764,4.173,0.3517,415.287
7000,-30,2,3634,351.9129,186.05,12805.92,58.87,313,23.10,9.269,8.267,0.7129,452.534
7000,-20,0,1130,95.1003,129.08,16.61,35.53,5,38.48,17.167,3.020,0.1513,272.931
7000,-20,1,1309,122.1372,93.53,608.98,27.12,21,34.58,15.097,4.167,0.2538,407.827
7000,-20,2,5780,357.4725,175.32,26067.90,54.63,548,22.95,9.651,8.753,0.7389,531.861
7000,-10,0,1609,204.2743,255.71,29.10,37.49,10,38.87,17.535,3.023,0.1982,356.145
