step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,7,7,0,0,0,7,0,1.00,18,0.000,1824,1.82,94.50,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,1817,1.92,117.30,0.00,147,8,8
100000,2,2,0,0,0,2,0,1.00,26,0.000,1816,1.06,71.15,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,1809,1.84,121.97,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,1808,0.45,101.48,0.00,204,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1796,2.19,104.31,0.00,101,8,8
100000,14,14,0,0,0,14,0,1.00,8,0.000,1793,2.80,141.01,0.00,101,8,8
100000,6,6,0,0,0,6,0,1.00,22,0.000,1791,1.39,121.40,0.00,29,8,8
100000,6,6,0,0,0,6,0,1.00,22,0.000,1784,1.59,122.38,0.00,29,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,1776,1.49,105.46,0.00,101,8,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,1773,2.55,121.24,0.00,147,8,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,1770,2.77,134.42,0.00,147,8,8
100000,11,11,0,0,0,11,0,1.00,10,0.000,1767,1.56,138.44,0.00,147,8,8
100000,2,10,0,0,0,2,0,1.00,26,0.000,1761,1.27,82.57,0.00,60,1,1
